jugador_nombre,receptor_nombre,resultado
Mateo Kovačić,Marcelo Brozović,Complete
Marcelo Brozović,Mateo Kovačić,Complete
Mateo Kovačić,Luka Modrić,Complete
Luka Modrić,Ivan Perišić,Complete
Josip Juranović,Dejan Lovren,Complete
Dejan Lovren,Dominik Livaković,Complete
Dominik Livaković,Borna Sosa,Complete
Borna Sosa,Ivan Perišić,Complete
Ivan Perišić,Borna Sosa,Complete
Borna Sosa,Marko Livaja,Complete
Marko Livaja,Borna Sosa,Complete
Borna Sosa,Mateo Kovačić,Complete
Mateo Kovačić,Andrej Kramarić,Complete
Andrej Kramarić,Josip Juranović,Complete
Josip Juranović,Luka Modrić,Complete
Luka Modrić,Marko Livaja,Complete
Marcelo Brozović,Luka Modrić,Complete
Luka Modrić,Ivan Perišić,Complete
Borna Sosa,Marcelo Brozović,Complete
Marcelo Brozović,Dejan Lovren,Complete
Dejan Lovren,Josip Juranović,Complete
Josip Juranović,Dejan Lovren,Complete
Dejan Lovren,Joško Gvardiol,Complete
Joško Gvardiol,Borna Sosa,Complete
Borna Sosa,Marko Livaja,Complete
Marcelo Brozović,Luka Modrić,Complete
Luka Modrić,Dejan Lovren,Complete
Dejan Lovren,Dominik Livaković,Complete
Josip Juranović,Dominik Livaković,Complete
Marcelo Brozović,Joško Gvardiol,Complete
Joško Gvardiol,Borna Sosa,Complete
Borna Sosa,Mateo Kovačić,Complete
Mateo Kovačić,Borna Sosa,Complete
Borna Sosa,Marcelo Brozović,Complete
Marcelo Brozović,Josip Juranović,Complete
Josip Juranović,Andrej Kramarić,Complete
Andrej Kramarić,Josip Juranović,Complete
Josip Juranović,Marcelo Brozović,Complete
Marcelo Brozović,Borna Sosa,Complete
Borna Sosa,Ivan Perišić,Complete
Ivan Perišić,Borna Sosa,Complete
Borna Sosa,Joško Gvardiol,Complete
Joško Gvardiol,Dejan Lovren,Complete
Dejan Lovren,Josip Juranović,Complete
Marko Livaja,Marcelo Brozović,Complete
Marcelo Brozović,Luka Modrić,Complete
Joško Gvardiol,Marcelo Brozović,Complete
Marcelo Brozović,Dejan Lovren,Complete
Dejan Lovren,Dominik Livaković,Complete
Marcelo Brozović,Andrej Kramarić,Complete
Andrej Kramarić,Marcelo Brozović,Complete
Marcelo Brozović,Marko Livaja,Complete
Andrej Kramarić,Josip Juranović,Complete
Josip Juranović,Marko Livaja,Complete
Dominik Livaković,Borna Sosa,Complete
Borna Sosa,Mateo Kovačić,Complete
Mateo Kovačić,Borna Sosa,Complete
Ivan Perišić,Marcelo Brozović,Complete
Marcelo Brozović,Borna Sosa,Complete
Borna Sosa,Mateo Kovačić,Complete
Mateo Kovačić,Dejan Lovren,Complete
Dejan Lovren,Marcelo Brozović,Complete
Marcelo Brozović,Josip Juranović,Complete
Josip Juranović,Ivan Perišić,Complete
Ivan Perišić,Dejan Lovren,Complete
Marcelo Brozović,Joško Gvardiol,Complete
Joško Gvardiol,Borna Sosa,Complete
Borna Sosa,Andrej Kramarić,Complete
Andrej Kramarić,Mateo Kovačić,Complete
Mateo Kovačić,Borna Sosa,Complete
Borna Sosa,Marcelo Brozović,Complete
Marcelo Brozović,Borna Sosa,Complete
Borna Sosa,Mateo Kovačić,Complete
Mateo Kovačić,Josip Juranović,Complete
Dominik Livaković,Josip Juranović,Complete
Josip Juranović,Dejan Lovren,Complete
Dejan Lovren,Dominik Livaković,Complete
Dominik Livaković,Joško Gvardiol,Complete
Joško Gvardiol,Borna Sosa,Complete
Borna Sosa,Andrej Kramarić,Complete
Andrej Kramarić,Mateo Kovačić,Complete
Josip Juranović,Luka Modrić,Complete
